Date,Open,High,Low,Close,Adj Close,Volume,Adj Close Next,Label
2011-04-04,515.1171875,522.4476928710938,509.6688537597656,520.3922119140625,474.8753967285156,6051061,473.51947021484375,0
2011-04-05,521.3085327148438,524.5280151367188,515.1171875,518.9063110351562,473.51947021484375,4964260,472.25390625,0
2011-04-06,517.59375,522.17529296875,515.1171875,517.5194091796875,472.25390625,4191928,470.9205322265625,0
2011-04-07,517.6184692382812,518.8567504882812,512.690185546875,516.0582885742188,470.9205322265625,4690528,462.78485107421875,0
2011-04-08,516.1077880859375,520.5160522460938,505.5330505371094,507.1427917480469,462.78485107421875,5536031,454.3780212402344,0
2011-04-11,501.74395751953125,504.9386901855469,497.11285400390625,497.93011474609375,454.3780212402344,5213369,461.83575439453125,1
2011-04-13,496.2213134765625,507.19232177734375,493.6209716796875,506.1026611328125,461.83575439453125,8822291,461.4515380859375,0
2011-04-15,504.5424499511719,507.61334228515625,497.7815246582031,505.681640625,461.4515380859375,6541425,456.1181335449219,0
2011-04-18,504.8148498535156,517.4451293945312,495.6021728515625,499.8370361328125,456.1181335449219,6827310,457.2480773925781,1
2011-04-19,497.6329345703125,503.9480895996094,494.6858825683594,501.0753173828125,457.2480773925781,5548593,463.6888427734375,1
2011-04-20,503.2298889160156,510.41180419921875,499.36651611328125,508.1333923339844,463.6888427734375,4760561,470.3330078125,1
2011-04-21,512.5416259765625,517.197509765625,510.1641540527344,515.4143676757812,470.3330078125,6892223,456.20855712890625,0
2011-04-25,502.2392578125,505.7064208984375,497.8558349609375,499.93609619140625,456.20855712890625,8371144,452.5023193359375,0
2011-04-26,499.76275634765625,499.76275634765625,494.09149169921875,495.8746032714844,452.5023193359375,8146584,445.6999206542969,0
2011-04-27,497.7815246582031,499.8122863769531,485.44842529296875,488.4202575683594,445.6999206542969,11403773,439.5077819824219,0
2011-04-28,491.3425598144531,491.8378601074219,480.44586181640625,481.63458251953125,439.5077819824219,16481230,444.6377868652344,1
2011-04-29,482.92236328125,489.361328125,481.0897521972656,487.25628662109375,444.6377868652344,6893126,436.05010986328125,0
2011-05-02,487.3305969238281,488.7669677734375,476.1366882324219,477.8454895019531,436.05010986328125,6280802,426.6263427734375,0
2011-05-03,478.01885986328125,479.1580505371094,466.1067810058594,467.5184020996094,426.6263427734375,10166156,428.3212585449219,1
2011-05-04,468.063232421875,473.883056640625,465.5867004394531,469.37579345703125,428.3212585449219,5384888,433.01629638671875,1
2011-05-05,468.063232421875,477.2511291503906,467.3945617675781,470.5149841308594,433.01629638671875,9037540,435.3410339355469,1
2011-05-06,472.0256652832031,475.4927978515625,470.093994140625,473.0410461425781,435.3410339355469,5960945,437.2782897949219,1
2011-05-09,475.4927978515625,478.4894104003906,471.2331848144531,475.1460876464844,437.2782897949219,3697955,433.380859375,0
