neg,neu,pos,compound
0.162,0.694,0.145,-0.0772
0.162,0.694,0.145,-0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.946,0.054,0.4215
0.0,0.946,0.054,0.4215
0.057,0.836,0.107,0.5719
0.057,0.836,0.107,0.5719
0.0,0.809,0.191,0.9022
0.0,0.809,0.191,0.9022
0.042,0.859,0.099,0.9201
0.042,0.859,0.099,0.9201
0.0,0.884,0.116,0.9393
0.0,0.884,0.116,0.9393
0.102,0.824,0.074,0.1531
0.102,0.824,0.074,0.1531
0.036,0.948,0.016,-0.296
0.036,0.948,0.016,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.045,0.79,0.165,0.9799
0.045,0.79,0.165,0.9799
0.0,0.825,0.175,0.936
0.0,0.825,0.175,0.936
0.0,0.923,0.077,0.6808
0.0,0.923,0.077,0.6808
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.055,0.88,0.065,-0.1779
0.055,0.88,0.065,-0.1779
0.038,0.871,0.091,0.4588
0.038,0.871,0.091,0.4588
0.106,0.836,0.058,-0.5267
0.106,0.836,0.058,-0.5267
0.0,0.815,0.185,0.3612
0.0,0.815,0.185,0.3612
0.075,0.891,0.034,-0.7964
0.075,0.891,0.034,-0.7964
0.04,0.81,0.15,0.9601
0.04,0.81,0.15,0.9601
0.0,0.735,0.265,0.9666
0.0,0.735,0.265,0.9666
0.022,0.895,0.084,0.9769
0.022,0.895,0.084,0.9769
0.0,0.954,0.046,0.4404
0.0,0.954,0.046,0.4404
0.0,0.957,0.043,0.3818
0.0,0.957,0.043,0.3818
0.0,0.912,0.088,0.6705
0.0,0.912,0.088,0.6705
0.067,0.872,0.061,-0.25
0.067,0.872,0.061,-0.25
0.067,0.895,0.038,-0.6705
0.067,0.895,0.038,-0.6705
0.028,0.846,0.126,0.7783
0.028,0.846,0.126,0.7783
0.0,0.927,0.073,0.7783
0.0,0.927,0.073,0.7783
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.134,0.768,0.098,-0.25
0.134,0.768,0.098,-0.25
0.144,0.762,0.094,-0.1779
0.144,0.762,0.094,-0.1779
0.025,0.801,0.174,0.969
0.025,0.801,0.174,0.969
0.095,0.81,0.095,0.0258
0.095,0.81,0.095,0.0258
0.107,0.806,0.087,-0.836
0.107,0.806,0.087,-0.836
0.096,0.851,0.054,-0.802
0.096,0.851,0.054,-0.802
0.026,0.917,0.057,0.7096
0.026,0.917,0.057,0.7096
0.0,0.933,0.067,0.3182
0.0,0.933,0.067,0.3182
0.162,0.759,0.079,-0.967
0.162,0.759,0.079,-0.967
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.027,0.846,0.127,0.9836
0.027,0.846,0.127,0.9836
0.134,0.853,0.013,-0.9819
0.134,0.853,0.013,-0.9819
0.0,0.805,0.195,0.4404
0.0,0.805,0.195,0.4404
0.0,0.781,0.219,0.8807
0.0,0.781,0.219,0.8807
0.0,0.914,0.086,0.9118
0.0,0.914,0.086,0.9118
0.079,0.893,0.028,-0.7964
0.079,0.893,0.028,-0.7964
0.037,0.855,0.109,0.8271
0.037,0.855,0.109,0.8271
0.05,0.865,0.085,0.8658
0.05,0.865,0.085,0.8658
0.096,0.852,0.052,-0.8834
0.096,0.852,0.052,-0.8834
0.095,0.827,0.078,-0.9118
0.095,0.827,0.078,-0.9118
0.154,0.846,0.0,-0.9485
0.154,0.846,0.0,-0.9485
0.108,0.854,0.038,-0.8176
0.108,0.854,0.038,-0.8176
0.041,0.855,0.104,0.9812
0.041,0.855,0.104,0.9812
0.049,0.888,0.063,0.4019
0.049,0.888,0.063,0.4019
0.1,0.869,0.031,-0.9723
0.1,0.869,0.031,-0.9723
0.041,0.872,0.087,0.7184
0.041,0.872,0.087,0.7184
0.054,0.764,0.182,0.9952
0.054,0.764,0.182,0.9952
0.135,0.808,0.057,-0.9891
0.135,0.808,0.057,-0.9891
0.088,0.786,0.126,0.5423
0.088,0.786,0.126,0.5423
0.0,0.943,0.057,0.7096
0.0,0.943,0.057,0.7096
0.0,0.978,0.022,0.0258
0.0,0.978,0.022,0.0258
0.049,0.858,0.093,0.8658
0.049,0.858,0.093,0.8658
0.034,0.903,0.063,0.8934
0.034,0.903,0.063,0.8934
0.043,0.896,0.061,0.3818
0.043,0.896,0.061,0.3818
0.03,0.859,0.111,0.9468
0.03,0.859,0.111,0.9468
0.038,0.809,0.153,0.9902
0.038,0.809,0.153,0.9902
0.057,0.943,0.0,-0.6369
0.057,0.943,0.0,-0.6369
0.026,0.915,0.059,0.8934
0.026,0.915,0.059,0.8934
0.053,0.882,0.065,-0.296
0.053,0.882,0.065,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.061,0.852,0.087,0.7039
0.061,0.852,0.087,0.7039
0.009,0.8,0.191,0.975
0.009,0.8,0.191,0.975
0.0,0.957,0.043,0.3818
0.0,0.957,0.043,0.3818
0.082,0.82,0.098,0.8402
0.082,0.82,0.098,0.8402
0.082,0.83,0.088,0.1531
0.082,0.83,0.088,0.1531
0.045,0.857,0.098,0.9899
0.045,0.857,0.098,0.9899
0.043,0.881,0.075,0.8957
0.043,0.881,0.075,0.8957
0.059,0.771,0.17,0.765
0.059,0.771,0.17,0.765
0.109,0.748,0.144,0.34
0.109,0.748,0.144,0.34
0.04,0.857,0.104,0.9382
0.04,0.857,0.104,0.9382
0.0,0.919,0.081,0.4404
0.0,0.919,0.081,0.4404
0.011,0.947,0.043,0.6597
